trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.9790609845195051}",25,0,-83.21795102838915,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.9780309147241483}",20,0,-131.40595409244253,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9769763942068623}",20,0,-88.64555966081399,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9758974493306055}",35,18,-45.778354507264666,"{0: 7, 1: 9, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.9747941070689433}",20,0,-143.9104038710914,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.9736663950053749}",20,0,-23.173409877340866,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.972514341332643}",25,0,-36.96326300521911,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9713379748520296}",25,0,-98.97891374659413,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9701373249726354}",20,3,-5.166853150134472,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.9689124217106447}",30,0,-115.98355584167041,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.9676632956885756}",20,0,-153.9100671546038,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",1
53,False,"{'a': 0.5, 'e': 0.9663899781345132}",25,0,-86.13074377886527,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.9650925008813303}",25,0,-156.22925225440312,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.9637708963658905}",20,0,-75.5232360806521,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.962425197628238}",20,0,-94.94755424874482,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-150.38404485579326,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9596616526574011}",25,0,-120.21911239125775,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9582438755126972}",25,0,-92.31126023235528,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9568021423210139}",35,0,-121.07743825873423,"{0: 23, 1: 3, 2: 7, 3: 1, 4: 1}",0
61,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-73.99056983546464,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9538469525677271}",25,0,-158.54594289166494,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9523335698857134}",20,0,-65.65704047635188,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9507963789140532}",25,0,-63.29716233626926,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.9492354180824408}",20,0,-65.9903318478612,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9476507264148157}",20,0,-122.72473370791624,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.946042343528387}",25,0,-165.0504203467103,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.944410309632643}",20,0,-100.62829391392438,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9427546655283462}",30,5,-135.04302483255472,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",1
70,False,"{'a': 0.5, 'e': 0.941075452606513}",25,10,-27.159557950166004,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.9393727128473789}",25,0,-121.44790272658419,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9376464888193493}",20,0,-184.0499884717773,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-19.453783414873588,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9341237611646731}",25,0,-59.1242944875258,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9323273456060345}",25,1,-106.78702924310058,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.9305076219123143}",20,0,-88.68849831124601,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-110.64899824229849,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.9267984326731847}",30,0,-122.72905812834111,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,0,-104.26614172991772,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.9229965643631173}",25,2,-135.4036699248964,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 2}",1
81,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-74.81336995349439,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9191023971657747}",25,0,-111.45131515419514,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9171208228166051}",25,0,-87.59789229546209,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9151163204946318}",20,4,-73.31489187642262,"{0: 10, 1: 3, 2: 1, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.9130889403123083}",20,15,7.048558764559616,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.9110387329540337}",25,0,-110.40797495024466,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.5, 'e': 0.9089657496748851}",20,9,-29.910265487983573,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.9068700422993367}",20,0,-29.964200164503325,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9047516632199634}",20,0,-61.93635428186625,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
