trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
183,False,"{'a': 0.5, 'e': 0.6137457494888116}",30,0,-126.94435622784792,"{0: 21, 1: 3, 2: 0, 3: 5, 4: 1}",0
184,False,"{'a': 0.5, 'e': 0.6097905754324501}",20,0,-88.9538507454306,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
185,False,"{'a': 0.5, 'e': 0.6058201566434628}",20,0,-17.758865866693753,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
186,False,"{'a': 0.5, 'e': 0.6018345923821126}",20,0,19.358639896381888,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
187,False,"{'a': 0.5, 'e': 0.5978339822872982}",25,0,-73.33466258364689,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
188,False,"{'a': 0.5, 'e': 0.5938184263740639}",20,0,-42.031102747156794,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.5897880250310982}",20,0,-36.49375183313257,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
190,False,"{'a': 0.5, 'e': 0.5857428790182249}",30,14,-44.83775991263949,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.5816830894638835}",30,0,-26.138460833132143,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.5776087578626015}",20,0,-57.36443187351951,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.5735199860724567}",20,0,-28.64581685219813,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 0.5694168763125309}",20,0,-22.81468528870311,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.5652995311603544}",20,10,4.532537825308596,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.5611680535493414}",20,0,-36.456379657094004,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.5570225467662173}",20,0,-65.75858550427682,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
198,False,"{'a': 0.5, 'e': 0.5528631144484356}",25,19,8.309028049662247,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.5486898605815875}",25,15,-19.223206922324373,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.5445028894968026}",25,3,-22.65555949014414,"{0: 18, 1: 1, 2: 1, 3: 2, 4: 0}",1
201,False,"{'a': 0.5, 'e': 0.5403023058681397}",30,16,-18.690782529602497,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.5360882147099707}",20,3,-21.40674294161318,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,7,20.755628496586077,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.5276199315484067}",20,7,-19.433635966853018,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.5233659512516495}",25,0,-29.61181083206532,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.5190988868333698}",25,10,-14.702364409639813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.5, 'e': 0.5148188449699553}",30,13,-22.4361031736409,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
208,False,"{'a': 0.5, 'e': 0.5105259326622302}",25,2,8.396912749223251,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,0,-61.59179422253152,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
210,False,"{'a': 0.5, 'e': 0.5019019263232615}",30,14,15.72899475484285,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.49757104789172696}",25,0,-45.290651258598785,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
212,False,"{'a': 0.5, 'e': 0.4932277302099105}",20,0,17.91456295329857,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.4888720818605275}",25,0,-58.45655831218546,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
214,False,"{'a': 0.5, 'e': 0.48450421173456026}",35,4,-54.074159614607794,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 1}",1
215,False,"{'a': 0.5, 'e': 0.4801242290285341}",20,0,-83.0003509623467,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
216,False,"{'a': 0.5, 'e': 0.4757322432417888}",25,0,-120.77413854546603,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
217,False,"{'a': 0.5, 'e': 0.47132836417373997}",30,20,-21.179273385870847,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.5, 'e': 0.4669127019211353}",25,17,-11.312445163806657,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.4624853668753008}",30,10,-0.6743120167065455,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.45804646971938234}",20,2,-22.466476809417866,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.4535961214255773}",25,11,-3.2246353967444557,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.4491344332523616}",30,11,-19.6159083365081,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
223,False,"{'a': 0.5, 'e': 0.4446615167417068}",20,10,8.064133597335616,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 0.440177483716293}",20,0,-5.110474287957831,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 0.4356824462767121}",20,6,-46.55351655596441,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
226,False,"{'a': 0.5, 'e': 0.4311765167986662}",20,7,-2.1428566568291663,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.42665980793015723}",20,4,3.6955204531822345,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.42213243258867206}",25,0,-5.22850314829713,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
229,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,5,-69.40249216005972,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
230,False,"{'a': 0.5, 'e': 0.4130461354871949}",20,8,23.434650189560905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,11,-40.744449745829236,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
232,False,"{'a': 0.5, 'e': 0.40391853411637296}",30,7,5.143339374966663,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.3993395294062732}",30,0,-55.718885402588654,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
234,False,"{'a': 0.5, 'e': 0.39475054122873704}",25,8,-32.58307804862432,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
235,False,"{'a': 0.5, 'e': 0.3901516843082303}",25,0,-14.556646156222273,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.385543073615936}",20,7,-71.0442589141826,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 2}",1
237,False,"{'a': 0.5, 'e': 0.38092482436688185}",25,9,16.306767113668712,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.37629705201705815}",20,0,-2.4829621895942044,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
239,False,"{'a': 0.5, 'e': 0.371659872260533}",30,16,-44.31917013085634,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
240,False,"{'a': 0.5, 'e': 0.3670134010265584}",25,0,-35.36527896158526,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
241,False,"{'a': 0.5, 'e': 0.3623577544766736}",30,23,-7.648512843552361,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.3576930490017995}",30,13,24.988815823933678,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.3530194012193304}",20,0,-28.953656207992598,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.348336927970217}",30,10,-21.329436209141925,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
245,False,"{'a': 0.5, 'e': 0.34364574631604705}",25,2,-20.061037132780992,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.3389459735361172}",25,15,6.973925104482345,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.3342377271245026}",25,9,-79.75735311611845,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
248,False,"{'a': 0.5, 'e': 0.32952112478711787}",20,0,3.7844116687688585,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
249,False,"{'a': 0.5, 'e': 0.32479628443877623}",20,0,-9.580243066746286,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
250,False,"{'a': 0.5, 'e': 0.32006332420023986}",20,12,4.253262303813127,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
251,False,"{'a': 0.5, 'e': 0.3153223623952687}",20,0,22.61606519715654,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
252,False,"{'a': 0.5, 'e': 0.3105735175476604}",20,9,20.052239507949928,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.30581690837828934}",20,15,5.063940029183044,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.3010526538021365}",30,9,-104.36944199480227,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 1}",1
255,False,"{'a': 0.5, 'e': 0.29628087292531874}",20,13,14.370819187616423,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.2915016850421088}",20,11,-38.42890930610869,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
257,False,"{'a': 0.5, 'e': 0.2867152096319555}",25,11,-21.291304654211686,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.2819215663564944}",25,0,-21.781012674706407,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
259,False,"{'a': 0.5, 'e': 0.2771208750565576}",20,5,-1.996792339648429,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.272313255749178}",30,13,-22.092561954000118,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
261,False,"{'a': 0.5, 'e': 0.26749882862458735}",20,11,6.742058154517566,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.26267771404321355}",25,2,18.1656494368251,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.2578500325326696}",25,1,-45.883376533567855,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
264,False,"{'a': 0.5, 'e': 0.25301590478474223}",20,13,3.714265502453257,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.5, 'e': 0.2481754516523729}",20,2,25.105047532007355,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.5, 'e': 0.24332879414663827}",20,5,2.3269530077960905,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.23847605343372313}",20,10,16.262116104709655,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.233617350831893}",20,11,3.585627358784819,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
269,False,"{'a': 0.5, 'e': 0.22875280780845939}",20,14,-1.356985137670957,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.22388254597674498}",20,10,18.28743545235281,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.2190066870930415}",25,14,19.401837618076254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.21412535305356747}",25,17,9.1677426002965,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.20923866589141926}",30,13,15.2973661155249,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.20434674777352183}",20,13,12.688544977473622,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.19944972099757285}",25,15,-0.7252023117248456,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.19454770798898718}",25,10,29.08567470937814,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,10,12.319618254568756,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.5, 'e': 0.1847292135957762}",20,0,8.226785844723072,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
279,False,"{'a': 0.5, 'e': 0.17981297767299936}",25,17,17.174681958567188,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.17489224643514614}",25,14,21.143006904162185,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.16996714290024081}",25,12,18.53078716624254,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.16503779019561562}",30,22,16.517152373183727,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.16010431155483126}",20,0,16.928931694135816,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
284,False,"{'a': 0.5, 'e': 0.15516683031459658}",20,0,-12.174781498989944,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
285,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,0,-32.78849409290187,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
286,False,"{'a': 0.5, 'e': 0.14528035387985133}",25,16,16.03850433588942,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.5, 'e': 0.14033160584673673}",20,9,22.971980481869156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
288,False,"{'a': 0.5, 'e': 0.13537934953078465}",20,7,5.134603062424365,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
289,False,"{'a': 0.5, 'e': 0.13042370873814554}",30,19,19.799231183149946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,False,"{'a': 0.5, 'e': 0.12546480735958065}",25,17,16.838546568341453,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
291,False,"{'a': 0.5, 'e': 0.12050276936736662}",20,0,-26.566831984240412,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
292,False,"{'a': 0.5, 'e': 0.11553771881219435}",20,10,-24.592641529945215,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
293,False,"{'a': 0.5, 'e': 0.11056977982006959}",25,0,40.99589223045028,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
294,False,"{'a': 0.5, 'e': 0.10559907658920793}",25,13,-20.574179747034858,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
295,False,"{'a': 0.5, 'e': 0.10062573338693173}",20,4,5.595372782331041,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
296,False,"{'a': 0.5, 'e': 0.09564987454656154}",25,17,14.667476857297597,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,False,"{'a': 0.5, 'e': 0.09067162446430968}",20,6,21.383731340032845,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.5, 'e': 0.08569110759616845}",20,12,13.289041071811514,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
299,False,"{'a': 0.5, 'e': 0.08070844845480063}",20,1,28.884691886025983,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.07572377160642477}",20,13,11.15840243405958,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
301,False,"{'a': 0.5, 'e': 0.0707372016677029}",25,15,11.292190297867329,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
302,False,"{'a': 0.5, 'e': 0.06574886330262336}",20,11,17.277332764722196,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
303,False,"{'a': 0.5, 'e': 0.0607588812193859}",25,11,23.71992373331646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
304,False,"{'a': 0.5, 'e': 0.05576738016728224}",20,14,10.082834759057814,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
305,False,"{'a': 0.5, 'e': 0.05077448493357918}",25,9,23.445784618338827,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.5, 'e': 0.04578032034039706}",35,22,26.819273618824383,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,16,7.006997336372799,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,14,29.17587870701788,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,21.09915039193499,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",35,26,15.81853151114622,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,7,30.450140516277173,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,16.00893530623114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,15,15.975426257956398,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,11,25.444287760441068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,9.13949525163759,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,10,26.42902197767399,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",30,16,23.928542200405143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",30,14,29.817693146293195,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,10,18.556447466796627,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",20,13,14.976586672327356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",30,13,30.97188523287076,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,17,14.17172273894937,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",25,13,25.195937361876393,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,24,12.726868127139841,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,11,14.30929528169981,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,15,17.72295044192323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,15,10.346164201519382,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,2,29.0542189898326,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",30,18,18.952506600439186,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",30,18,20.504677376549672,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,20,9.339134591818237,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",30,20,21.059274057360803,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,3,34.12736272614617,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",30,16,26.194023862335854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",30,15,27.95000382360712,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,14,22.457299432386744,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
